Aggregate_Date,Platform,Country_ID,Download_MBPS,Upload_MBPS,Latency_MS,Jitter,Rank,Month,PrevMonth,Country_Name
2024-04-01,Fixed Broadband,171,29.74,21.72,85,52,161,2024-04,2024-03,Papua New Guinea
2024-04-01,Fixed Broadband,173,29.19,28.03,24,50,162,2024-04,2024-03,Uganda
2024-04-01,Fixed Broadband,102,28.82,9.38,136,76,163,2024-04,2024-03,Cameroon
2024-04-01,Fixed Broadband,176,27.31,19.65,30,30,164,2024-04,2024-03,Suriname
2024-04-01,Fixed Broadband,154,26.61,17.85,30,52,165,2024-04,2024-03,Cape Verde
2024-04-01,Fixed Broadband,189,26.05,20.42,40,49,166,2024-04,2024-03,Namibia
2024-04-01,Fixed Broadband,153,23.71,15.87,40,62,167,2024-04,2024-03,Libya
2024-04-01,Fixed Broadband,21,23.31,23.02,20,36,168,2024-04,2024-03,Pakistan
2024-04-01,Fixed Broadband,177,23.15,15.38,121,70,169,2024-04,2024-03,Turkmenistan
2024-04-01,Fixed Broadband,128,22.78,22.50,29,52,170,2024-04,2024-03,Kenya
2024-04-01,Fixed Broadband,181,22.45,15.64,90,44,171,2024-04,2024-03,Vanuatu
2024-04-01,Fixed Broadband,185,22.22,21.39,48,62,172,2024-04,2024-03,Botswana
2024-04-01,Fixed Broadband,244,21.17,22.39,59,37,173,2024-04,2024-03,East Timor
2024-04-01,Fixed Broadband,106,18.69,24.70,28,53,174,2024-04,2024-03,Syria
2024-04-01,Fixed Broadband,220,17.64,14.96,47,55,175,2024-04,2024-03,Liberia
2024-04-01,Fixed Broadband,114,16.26,6.35,73,67,176,2024-04,2024-03,Yemen
2024-04-01,Fixed Broadband,133,15.69,9.30,42,55,177,2024-04,2024-03,Tunisia
2024-04-01,Fixed Broadband,186,15.52,11.70,45,94,178,2024-04,2024-03,The Gambia
2024-04-01,Fixed Broadband,193,11.07,10.47,44,108,179,2024-04,2024-03,Burundi
2024-04-01,Fixed Broadband,117,10.21,10.94,42,89,180,2024-04,2024-03,Afghanistan
2024-04-01,Fixed Broadband,146,8.36,5.60,144,95,181,2024-04,2024-03,Cuba
